row_index,actual,pred,type,p_churn
518,0,1,FP,0.7136828117829377
519,1,0,FN,0.21163415619100948
522,0,1,FP,0.5887007210427987
524,0,1,FP,0.6310457003732616
528,1,0,FN,0.2754981763076243
529,1,0,FN,0.2461490766615894
531,0,1,FP,0.5557826078985227
533,1,0,FN,0.3659273180430512
534,0,1,FP,0.6440385492923358
535,0,1,FP,0.6920193307836202
539,1,0,FN,0.2895270367971999
540,1,0,FN,0.4366409980147431
541,1,0,FN,0.4534106739190341
559,0,1,FP,0.5209855058556209
563,0,1,FP,0.5106770954215952
571,0,1,FP,0.5992943227877318
579,1,0,FN,0.08467422149573554
581,1,0,FN,0.2599773631647154
585,0,1,FP,0.7946049645770346
593,1,0,FN,0.13224204064521955
618,0,1,FP,0.6644463311972938
619,1,0,FN,0.07126994436964249
620,1,0,FN,0.2513165993897406
623,1,0,FN,0.2912738150110384
625,1,0,FN,0.35164709475025324
626,0,1,FP,0.5115286114604984
630,1,0,FN,0.4954010745940196
641,0,1,FP,0.7057757189980045
645,0,1,FP,0.5622435652948183
646,1,0,FN,0.024294400598148348
647,0,1,FP,0.8013842713966661
649,0,1,FP,0.5294663030548031
652,1,0,FN,0.11956547888626173
654,1,0,FN,0.23887311535158828
661,1,0,FN,0.4310135040828561
670,0,1,FP,0.6287096460534674
683,0,1,FP,0.5130097826455048
688,1,0,FN,0.4183643451686688
699,1,0,FN,0.2883838967398765
703,1,0,FN,0.15889054879463682
704,1,0,FN,0.03474415832308752
705,0,1,FP,0.5732649519380076
709,0,1,FP,0.5694431306751948
713,1,0,FN,0.21472561186252345
733,0,1,FP,0.6040806034303702
734,1,0,FN,0.29628208101366094
738,1,0,FN,0.025645103145076203
740,1,0,FN,0.1918107979360705
745,1,0,FN,0.47947031590170003
752,1,0,FN,0.21488403097745357
756,0,1,FP,0.6808729923959957
774,0,1,FP,0.5723325078623335
778,0,1,FP,0.5862034964202082
780,1,0,FN,0.12683796924415813
781,1,0,FN,0.07166922147163535
788,0,1,FP,0.5610491306688783
796,0,1,FP,0.6145729423084192
804,0,1,FP,0.5034414244120684
807,1,0,FN,0.34941273903452946
815,0,1,FP,0.6071961534530204
824,0,1,FP,0.5844275617986607
825,1,0,FN,0.42895734956422643
827,1,0,FN,0.20018114757285244
831,0,1,FP,0.5019276650227374
834,1,0,FN,0.254461568558726
835,0,1,FP,0.6126777129076877
837,1,0,FN,0.27728117515936196
852,1,0,FN,0.40826759318602107
858,1,0,FN,0.4799501213687495
868,0,1,FP,0.5412407683835244
880,1,0,FN,0.25137760495467615
886,1,0,FN,0.3640414618484075
900,1,0,FN,0.446897968582866
907,1,0,FN,0.48664604999082767
911,1,0,FN,0.2931611031699728
917,0,1,FP,0.5021597008137911
924,1,0,FN,0.37566451238722653
928,1,0,FN,0.28759075487329455
950,0,1,FP,0.7315999701259788
951,1,0,FN,0.27393337784210636
952,1,0,FN,0.4521840429906241
953,1,0,FN,0.4482308827841882
954,1,0,FN,0.032456337351150825
957,1,0,FN,0.4073306982433113
958,1,0,FN,0.09434792509341153
959,0,1,FP,0.5666489025098217
968,1,0,FN,0.15686893453717063
974,0,1,FP,0.5756928575703588
986,1,0,FN,0.44422820953120534
989,1,0,FN,0.18417487270398547
998,1,0,FN,0.42380408618146653
999,1,0,FN,0.2982814261468745
1007,1,0,FN,0.2878002483051753
1017,0,1,FP,0.704462928870615
1021,0,1,FP,0.6362398943341115
1026,1,0,FN,0.3762655118850203
1032,1,0,FN,0.4997550111047048
1036,1,0,FN,0.010059818284561813
1041,0,1,FP,0.6787320790673489
1043,0,1,FP,0.5609023112798954
1052,1,0,FN,0.3767958052956186
1057,1,0,FN,0.39072782833428304
1058,1,0,FN,0.2786273162044775
1063,0,1,FP,0.6945316237949084
1071,0,1,FP,0.698030362297976
1074,0,1,FP,0.5910311830789169
1088,1,0,FN,0.21229210464019657
1096,0,1,FP,0.5053666411723804
1097,0,1,FP,0.5898818091023916
1123,1,0,FN,0.4082060624783983
1128,0,1,FP,0.5610434783103754
1129,1,0,FN,0.17689139117326608
1140,1,0,FN,0.2000327576071908
1142,0,1,FP,0.5844431232849289
1151,1,0,FN,0.28941432197908157
1158,1,0,FN,0.12624595308716563
1160,0,1,FP,0.7208992948984029
1161,0,1,FP,0.7572293278130497
1164,1,0,FN,0.06439543449426822
1165,1,0,FN,0.2590627753575454
1167,0,1,FP,0.640496307604014
1169,0,1,FP,0.6273636721758944
1174,1,0,FN,0.4942056133093229
1180,1,0,FN,0.3837087711155362
1183,1,0,FN,0.40959308165382674
1187,0,1,FP,0.5938751825403724
1203,1,0,FN,0.39412615036113186
1211,0,1,FP,0.6033106603383357
1213,0,1,FP,0.6336229222894918
1214,1,0,FN,0.4900771151650343
1220,0,1,FP,0.61696900568704
1226,1,0,FN,0.3121844800523268
1229,0,1,FP,0.5225335556382872
1253,1,0,FN,0.48081831937596003
1258,0,1,FP,0.5475979493175699
1270,0,1,FP,0.5648137725260532
1276,1,0,FN,0.15294898976558402
1280,0,1,FP,0.8454482325692964
1286,0,1,FP,0.5162427670603675
1292,0,1,FP,0.6289380726923975
1293,1,0,FN,0.0641776244762948
1300,1,0,FN,0.3044038547056129
1313,1,0,FN,0.10369421942222855
1317,1,0,FN,0.15293284224408657
1322,1,0,FN,0.028044482994982217
1333,1,0,FN,0.20874841214224793
1345,1,0,FN,0.21355672276814344
1349,0,1,FP,0.7687899014425895
1351,1,0,FN,0.3881717443730513
1354,0,1,FP,0.5233173595623871
1360,1,0,FN,0.440435599336184
1366,0,1,FP,0.5872166851452648
1382,1,0,FN,0.10700932160655512
1387,0,1,FP,0.755718263825017
1393,1,0,FN,0.35502613735771077
1400,0,1,FP,0.732460235291067
1403,0,1,FP,0.6894690712887913
1408,1,0,FN,0.35129480086062204
